reserved_od,service,region,type,multiaz,license,os/db,utilization,term,payment_type,price,upfront
ondemand,ec2,ap-southeast-1,m3.xlarge,,,linux,,,,0.392,
ondemand,ec2,ap-southeast-1,m3.2xlarge,,,linux,,,,0.784,
ondemand,ec2,ap-southeast-1,c4.large,,,linux,,,,0.144,
ondemand,ec2,ap-southeast-1,c4.xlarge,,,linux,,,,0.289,
ondemand,ec2,ap-southeast-1,c4.2xlarge,,,linux,,,,0.578,
ondemand,ec2,ap-southeast-1,c4.4xlarge,,,linux,,,,1.155,
ondemand,ec2,ap-southeast-1,c4.8xlarge,,,linux,,,,2.31,
ondemand,ec2,ap-southeast-1,c3.large,,,linux,,,,0.132,
ondemand,ec2,ap-southeast-1,c3.xlarge,,,linux,,,,0.265,
ondemand,ec2,ap-southeast-1,c3.2xlarge,,,linux,,,,0.529,
ondemand,ec2,ap-southeast-1,c3.4xlarge,,,linux,,,,1.058,
ondemand,ec2,ap-southeast-1,c3.8xlarge,,,linux,,,,2.117,
ondemand,ec2,ap-southeast-1,g2.2xlarge,,,linux,,,,1.0,
ondemand,ec2,ap-southeast-1,g2.8xlarge,,,linux,,,,4.0,
ondemand,ec2,ap-southeast-1,x1.16xlarge,,,linux,,,,9.671,
ondemand,ec2,ap-southeast-1,x1.32xlarge,,,linux,,,,19.341,
ondemand,ec2,ap-southeast-1,r3.large,,,linux,,,,0.2,
ondemand,ec2,ap-southeast-1,r3.xlarge,,,linux,,,,0.399,
ondemand,ec2,ap-southeast-1,r3.2xlarge,,,linux,,,,0.798,
ondemand,ec2,ap-southeast-1,r3.4xlarge,,,linux,,,,1.596,
ondemand,ec2,ap-southeast-1,r3.8xlarge,,,linux,,,,3.192,
ondemand,ec2,ap-southeast-1,i2.xlarge,,,linux,,,,1.018,
ondemand,ec2,ap-southeast-1,i2.2xlarge,,,linux,,,,2.035,
ondemand,ec2,ap-southeast-1,i2.4xlarge,,,linux,,,,4.07,
ondemand,ec2,ap-southeast-1,i2.8xlarge,,,linux,,,,8.14,
ondemand,ec2,ap-southeast-1,d2.xlarge,,,linux,,,,0.87,
ondemand,ec2,ap-southeast-1,d2.2xlarge,,,linux,,,,1.74,
ondemand,ec2,ap-southeast-1,d2.4xlarge,,,linux,,,,3.48,
ondemand,ec2,ap-southeast-1,d2.8xlarge,,,linux,,,,6.96,
ondemand,ec2,ap-northeast-1,t2.nano,,,linux,,,,0.01,
ondemand,ec2,ap-northeast-1,t2.micro,,,linux,,,,0.02,
ondemand,ec2,ap-northeast-1,t2.small,,,linux,,,,0.04,
ondemand,ec2,ap-northeast-1,t2.medium,,,linux,,,,0.08,
ondemand,ec2,ap-northeast-1,t2.large,,,linux,,,,0.16,
ondemand,ec2,ap-northeast-1,m4.large,,,linux,,,,0.174,
ondemand,ec2,ap-northeast-1,m4.xlarge,,,linux,,,,0.348,
ondemand,ec2,ap-northeast-1,m4.2xlarge,,,linux,,,,0.695,
ondemand,ec2,ap-northeast-1,m4.4xlarge,,,linux,,,,1.391,
ondemand,ec2,ap-northeast-1,m4.10xlarge,,,linux,,,,3.477,
ondemand,ec2,ap-northeast-1,m4.16xlarge,,,linux,,,,5.563,
ondemand,ec2,ap-northeast-1,m3.medium,,,linux,,,,0.096,
ondemand,ec2,ap-northeast-1,m3.large,,,linux,,,,0.193,
ondemand,ec2,ap-northeast-1,m3.xlarge,,,linux,,,,0.385,
ondemand,ec2,ap-northeast-1,m3.2xlarge,,,linux,,,,0.77,
ondemand,ec2,ap-northeast-1,c4.large,,,linux,,,,0.133,
ondemand,ec2,ap-northeast-1,c4.xlarge,,,linux,,,,0.265,
ondemand,ec2,ap-northeast-1,c4.2xlarge,,,linux,,,,0.531,
ondemand,ec2,ap-northeast-1,c4.4xlarge,,,linux,,,,1.061,
ondemand,ec2,ap-northeast-1,c4.8xlarge,,,linux,,,,2.122,
ondemand,ec2,ap-northeast-1,c3.large,,,linux,,,,0.128,
ondemand,ec2,ap-northeast-1,c3.xlarge,,,linux,,,,0.255,
ondemand,ec2,ap-northeast-1,c3.2xlarge,,,linux,,,,0.511,
ondemand,ec2,ap-northeast-1,c3.4xlarge,,,linux,,,,1.021,
ondemand,ec2,ap-northeast-1,c3.8xlarge,,,linux,,,,2.043,
ondemand,ec2,ap-northeast-1,g2.2xlarge,,,linux,,,,0.898,
ondemand,ec2,ap-northeast-1,g2.8xlarge,,,linux,,,,3.592,
ondemand,ec2,ap-northeast-1,x1.16xlarge,,,linux,,,,9.671,
ondemand,ec2,ap-northeast-1,x1.32xlarge,,,linux,,,,19.341,
ondemand,ec2,ap-northeast-1,r3.large,,,linux,,,,0.2,
ondemand,ec2,ap-northeast-1,r3.xlarge,,,linux,,,,0.399,
ondemand,ec2,ap-northeast-1,r3.2xlarge,,,linux,,,,0.798,
ondemand,ec2,ap-northeast-1,r3.4xlarge,,,linux,,,,1.596,
